numeroControlePNCP,_etl_timestamp,dataPublicacaoPncp,dataVigenciaFim,dataVigenciaInicio,objetoContrato,valorGlobal,valorInicial,orgao_cnpj,orgao_nome
00394460005887-2-002024/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:13,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,140699.0,140699.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002025/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:13,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,7000.0,7000.0,00394460005887,MINISTERIO DA ECONOMIA
00394460005887-2-002026/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T00:30:14,2026-06-21T00:00:00,2026-05-22T00:00:00,Alienação de mercadorias apreendidas pela Receita Federal,15666.0,15666.0,00394460005887,MINISTERIO DA ECONOMIA
02585924000122-2-003755/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:00:02,2026-11-20T00:00:00,2026-05-22T00:00:00,"O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Alimentação Escolar – PNAE, no(a) EE PROF. SILVIO OLIVEIRA DOS SANTOS, município de CAMPO GRANDE / MS, conforme especificações e quantitativos estabelecidos no Termo de Referência e na Proposta de Preços.",388.8,388.8,02585924000122,SECRETARIA DE ESTADO DE EDUCACAO DE MATO GROSSO DO SUL
07954480000179-2-016539/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:00:49,2027-05-25T00:00:00,2026-05-25T00:00:00,AQUISIÇÃO - SERVIÇOS DE TERCEIROS - FESTIVIDADES E HOMENAGENS - EEFM SÃO FRANCISCO DE ASSIS - CANINDEZINHO - (SEFOR 3),4548.0,4548.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016540/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:00:52,2027-05-05T00:00:00,2026-05-11T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS - EEEP FRANCISCA DE ALBUQUERQUE MOURA - CEDRO - CREDE 17,10689.44,10689.44,07954480000179,ESTADO DO CEARA
07954480000179-2-016541/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:00:58,2027-05-26T00:00:00,2026-05-26T00:00:00,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS - COTAÇÃO ELETRÔNICA - CEJA PROFESSORA CECY CIALDINE - SOBRAL - CREDE 6 -,3286.0,3286.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016542/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:01,2027-05-26T00:00:00,2026-05-26T00:00:00,Aquisição de Estetoscópio pediátrico para Hospital Regional de Crateús - HRCRA.,483.0,483.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016543/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:03,2027-05-26T00:00:00,2026-05-26T00:00:00,LOCAÇÃO DE VEÍCULOS - EEMTI ADRIÃO DO VALE NUVENS - SANTANA DO CARIRI - CREDE 18,32500.0,32500.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016544/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:08,2027-05-20T00:00:00,2026-05-25T00:00:00,GÊNEROS DE ALIMENTAÇÃO - LICEU DE BATURITÉ DOMINGOS SÁVIO - BATURITE - CREDE 8,46598.55,46598.55,07954480000179,ESTADO DO CEARA
07954480000179-2-016545/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:12,2027-05-10T00:00:00,2026-05-11T00:00:00,LIMPEZA E CONSERVAÇÃO - EEMTI ESTADO DO PARANÁ - (SEFOR 3),560.0,560.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016546/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:18,2027-05-26T00:00:00,2026-05-26T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS - CENTRO CEARENSE DE IDIOMAS - UNIDADE CASCAVEL - CREDE 9,1290.0,1290.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016547/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:22,2027-05-01T00:00:00,2026-05-07T00:00:00,MATERIAL ELÉTRICO E ELETRÔNICO - EEMTI FRANCISCO MOREIRA FILHO - TABULEIRO DO NORTE - CREDE 10,300.0,300.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016548/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:33,2027-05-25T00:00:00,2026-05-25T00:00:00,CONTRATAÇÃO DE EMPRESA PARA A LIMPEZA E CONSERVAÇÃO - LIMPEZA DA CAIXA D'ÁGUA E DEDETIZAÇÃO - DA EEMTI MONSENHOR LINHARES PARA A MANUTENÇÃO DA EEMTI MONSENHOR LINHARES. GROAIRAS - CREDE 6 -,1600.0,1600.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016549/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:38,2027-04-20T00:00:00,2026-05-25T00:00:00,"AQUISIÇÃO - SERVIÇOS DE TERCEIROS -OUTROS SERVIÇOS DE TERCEIROS-MANUTENÇÃO DE CÂMERAS DE SEGURANÇA, EM FAVOR DA EEEP DR NAPOLEÃO NEVES DA LUZ - JARDIM - CREDE 19",2800.0,2800.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016550/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:01:40,2027-05-25T00:00:00,2026-05-25T00:00:00,LIMPEZA E CONSERVAÇÃO - PODA E CAPINA  - CENTRO DE REFERÊNCIA EM EDUCAÇÃO E ATENDIMENTO ESPECIALIZADO DO CEARÁ - CREAECE - FORTALEZA -  (SEFOR 3),17600.0,17600.0,07954480000179,ESTADO DO CEARA
