numeroControlePNCP,_etl_timestamp,dataPublicacaoPncp,dataVigenciaFim,dataVigenciaInicio,objetoContrato,valorGlobal,valorInicial,orgao_cnpj,orgao_nome
07954480000179-2-016575/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:27,2027-03-21T00:00:00,2026-05-25T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS - EEMTI FLAVIO RIBEIRO LIMA - UBAJARA - CREDE 5,14000.0,14000.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016576/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:29,2027-05-26T00:00:00,2026-05-26T00:00:00,"Aquisição emergencial de dietas enterais/orais e módulos nutricionais pediátricos, para um período de 12 (doze ) meses com a empresa INOVA NUTRIÇÃO E PRODUTOS EM SAÚDE LTDA, para atender as necessidades do Hospital Infantil Albert Sabin-HIAS, conforme especificações constantes no Anexo I.",49989.0,49989.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016577/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:33,2027-05-10T00:00:00,2026-05-11T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS - EEMTI PROFESSORA MARIETA SANTOS - BELA CRUZ - CREDE 3,19040.0,19040.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016578/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:38,2027-05-13T00:00:00,2026-05-14T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS - EEMTI MONSENHOR MANOEL CARLOS DE MORAIS - UMARI - CREDE 17,10989.0,10989.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016579/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:53,2027-05-25T00:00:00,2026-05-25T00:00:00,"MATERIAL PARA ÁUDIO, VÍDEO E FOTO - COORDENADORIA ESTADUAL DE FORMAÇÃO DOCENTE E EDUCAÇÃO A DISTÂNCIA - SOBRAL",7525.0,7525.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016580/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:56,2027-05-20T00:00:00,2026-05-25T00:00:00,SERVIÇOS GRÁFICOS E EDITORIAIS - EEMTI FRANCISCO JAGUARIBE - JAGUARUANA - CREDE 10,4260.0,4260.0,07954480000179,ESTADO DO CEARA
02585924000122-2-003756/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:00,2026-11-20T00:00:00,2026-05-22T00:00:00,"O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Alimentação Escolar – PNAE, no(a) EE CÍVICO - MILITAR MARÇAL DE SOUZA TUPÃ-Y, município de CAMPO GRANDE / MS, conforme especificações e quantitativos estabelecidos no Termo de Referência e na Proposta de Preços.",4725.0,4725.0,02585924000122,SECRETARIA DE ESTADO DE EDUCACAO DE MATO GROSSO DO SUL
07954480000179-2-016581/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:00,2027-05-21T00:00:00,2026-05-26T00:00:00,FORNECIMENTO DE ALIMENTAÇÃO - SEFOR 1,11700.0,11700.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016582/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:03,2027-05-26T00:00:00,2026-05-26T00:00:00,SERVIÇOS TÉCNICOS PROFISSIONAIS - ANTONIA NEDINA ONOFRE DE PAIVA - EEEP - ASSARE - CREDE 18,2244.0,2244.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016583/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:06,2027-05-26T00:00:00,2026-05-26T00:00:00,SERVIÇOS GRÁFICOS E EDITORIAIS - EEMTI ANTONIO LUIZ COELHO - MARANGUAPE- CREDE 1,2415.0,2415.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016584/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:10,2027-05-26T00:00:00,2026-05-26T00:00:00,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS EM PROL DA EEMTI CORONEL MURILO SERPA - ITAPIPOCA - CREDE 2 -,4580.0,4580.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016586/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:32,2027-05-26T00:00:00,2026-05-26T00:00:00,AQUISIÇÃO DE GêNEROS ALIMENTÍCIOS -EMPRESA OMEGA - CEJA PROFESSOR MOREIRA CAMPOS - (SEFOR 1),19685.0,19685.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016587/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:34,2027-05-26T00:00:00,2026-05-26T00:00:00,"ABASTECIMENTO DE ÁGUA POR PESSOA JURÍDICA - 
EEEP FLÁVIO GOMES GRANJEIRO
 -PARAIPABA - CREDE 2",47466.0,47466.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016588/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:37,2027-05-25T00:00:00,2026-05-25T00:00:00,TÉCNICOS PROFISSIONAIS - CONTADOR - EEM DR. UBIRAJARA ÍNDIO DO CEARÁ - (SEFOR 3),129.0,129.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016590/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:48,2027-03-21T00:00:00,2026-05-25T00:00:00,SERVIÇOS GRÁFICOS E EDITORIAIS - EEMTI ANTONIO VIDAL MALVEIRA - TABULEIRO DO NORTE - CREDE 10,1881.0,1881.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016592/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:53,2027-05-26T00:00:00,2026-05-26T00:00:00,AQUISIÇÃO - MATERIAL DE CONSUMO - GÁS ENGARRAFADO - ANTONIA NEDINA ONOFRE DE PAIVA - EEEP - CREDE 18.,1947.0,1947.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016593/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:05:56,2027-05-06T00:00:00,2026-05-07T00:00:00,SERVIÇO DE MANUTENÇÃO DE BENS IMÓVEIS - REPASSE PARA MANUTENÇÃO - EEEP COMENDADOR MIGUEL GURGEL - (SEFOR 2),18900.0,18900.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016594/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:06:04,2027-05-21T00:00:00,2026-05-26T00:00:00,TEM COMO OBJETIVO OS SERVIÇOS DE CONTADOR PARA ATENDER A AGENDA TRIBUTÁRIA DA EEMTI FRANCISCO GUERREIRO CHAVES - SAO JOAO DO JAGUARIBE - CREDE 10.,195.0,195.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016595/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:06:09,2027-05-26T00:00:00,2026-05-26T00:00:00,GÊNEROS DE ALIMENTAÇÃO - ESCOLA INDÍGENA DA PONTE - CAUCAIA - CREDE 1,39796.5,39796.5,07954480000179,ESTADO DO CEARA
07954480000179-2-016596/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:06:11,2027-05-20T00:00:00,2026-05-25T00:00:00,"CONFECÇÃO DE UNIFORMES, BANDEIRAS E FLÂMULAS - EEMTI FRANCISCO JAGUARIBE - JAGUARUANA - CREDE 10",4212.0,4212.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016598/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:06:22,2027-05-26T00:00:00,2026-05-26T00:00:00,FESTIVIDADES E HOMENAGENS - EEEP LUIZ GONZAGA FONSECA MOTA - AMONTADA - CREDE 2,1325.0,1325.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016599/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:07:13,2027-05-26T00:00:00,2026-05-26T00:00:00,Aquisição de Termômetro Clínico Digital para Hospital Regional de Crateús - HRCRA.,365.2,365.2,07954480000179,ESTADO DO CEARA
07954480000179-2-016600/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:07:16,2027-05-26T00:00:00,2026-05-26T00:00:00,Contratação de serviços técnicos profissionais (contador) para assessorar esta unidade de ensino - EEFM JOAQUIM ALVES - (SEFOR 3),130.0,130.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016601/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:07:21,2027-05-21T00:00:00,2026-05-26T00:00:00,FESTIVIDADES E HOMENAGENS - EEMTI FRANKLIN TÁVORA - ITAPIUNA - CREDE 8,3999.0,3999.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016603/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:07:34,2027-05-07T00:00:00,2026-05-08T00:00:00,SERVIÇOS GRÁFICOS E EDITORIAIS - EEMTI PADRE AMORIM - MISSAO VELHA - CREDE 20,4955.0,4955.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016604/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:08:08,2027-05-26T00:00:00,2026-05-26T00:00:00,LIMPEZA E CONSERVAÇÃO - EEFM JOAQUIM ALVES -  (SEFOR 3) /,840.0,840.0,07954480000179,ESTADO DO CEARA
